title,date,content,keywords,url
"What 1,000 Farmers Told Us About Tech Adoption","November 14, 2024","US farm owners and managers are often skeptical ofnew technologysolutions that are supposed to improve farm economics by maximizing yields, for example, or reducing the need for manual labor—and with some reason. Many growers have been disappointed by solutions that overpromised and underdelivered.

Adopting a leading-edge technology solution can also add risk for what is often a low-margin industry that contends with economic challenges. Farm owners and managers have only a handful of opportunities each year to turn their crops into cash. Faced with weak agricultural commodity prices and high interest rates, US growers are more inclined than ever to purchase technology solutions that they know and trust, rather than take a chance on something new.

So, how canagribusinessplayers better engage with growers and get traction for their innovations? To answer this question, we partnered withAg Accessto survey roughly 1,000 US growers.

We found that agribusiness companies could do more to consider the individuals behind each purchasing decision. By taking a more granular approach and identifying the factors that motivate different types of buyers, agribusiness players could develop more effective go-to-market strategies and position their product development pipelines to align with customers’ diverse needs.

To understand what drives growers’ purchasing decisions about agriculture technology solutions, we surveyed owners and managers of farms larger than 250 acres across the US that primarily produce corn, soy, wheat, or cotton. We asked participants about ten technology solutions. Each solution had a high degree of awareness among growers, although the newer ones had far lower adoption rates than more established solutions had.

When we asked growers about their buying intentions for 2024, most said that they are planning to repurchase the technology solutions that they have used before rather than try new ones. Of the more nascent technology solutions, growers are most likely to try precision application equipment for the first time. (See Exhibit 1.)","growers(8), solutions(7), technology(6), farm(3), owners(3), managers(3), high(2), rates(2), new(2), ones(2), try(2)",https://www.bcg.com/publications/2024/what-1000-farmers-told-us-about-tech-adoption
Winning the Tech Race in Africa: Lessons from Digital Natives,"November 11, 2024","In an era when digital technology and analytics are rapidly disrupting most industries, many large African companies in sectors such as financial services, telecom, insurance, and retail are heavily investing to build digital consumer value propositions centred around apps and ecosystems.

A key motivation is often that consumer needs, preferences, expectations, and habits are shifting rapidly. Modern consumers seek comprehensive solutions rather than merely purchasing products. Companies need to evolve how they serve their customers and move towards more integrated, user-centric digital solutions. They are rewarded with growth if they succeed. Examples include FNB’s banking app for consumers and small enterprises, Shoprite’s Sixty60 delivery service, and Luno’s investment platform for cryptocurrency.

Companies also aim to create new revenue streams through innovative business models and novel customer service approaches. M-Pesa and Mobile Money (MoMo) have revolutionized payments in many African countries and created new lines of business for the telecom companies that started them. Discovery, an insurance company, has been successful with Discovery Bank.

Another important factor is the fear of losing direct relationships with customers to intermediaries. By building digital offerings, companies aim to maintain control over customer interactions. Importantly, customer data allows them to tailor their offerings, drive higher revenues, and reduce attrition by increasing engagement. Insurance is an example: incumbent players are investing in direct-to-consumer offerings, such as Naked (Hollard), MiWay (Santam), and Pineapple (Old Mutual).

In some other markets this has already played out. The companies with the best data and the most effective ways of gaining insight from it are emerging as the winners. Global examples include Netflix, which transformed itself from a DVD-by-mail business into a data-driven entertainment platform, and PingAn, a Chinese insurer which adopted a highly successful digital-first business model.

However, many African companies have struggled to achieve good returns on their digital investments. Often, user interest in and uptake of their digital solutions have been lacklustre. Even when new digital offerings attract a significant number of users, the costs associated with inorganic customer acquisition (e.g. through advertising or incentives) often prove unsustainable, making it difficult to achieve favourable long-term per-user economics.

At the heart of these struggles is often a lack of product-market-fit. Many digital solutions are developed with a “solution forward” mindset, where companies start with a specific vision of what the offering should be. This is only natural. Established companies have important assets like technology, data, expertise, brand, and a customer base which can give them an “unfair advantage” over start-ups, and they seek to leverage these to their maximum potential.

However, once solutions are developed in this way, the value proposition often fails to resonate with customers. Users may try the new offering but fail to adopt it organically because it is too difficult to use, the value proposition is unclear, the addressed need is not pressing enough, or an easier alternative is available.

To improve their chances of launching successful digital solutions and to avoid sinking large amounts of funding into ultimately unsuccessful ventures, African companies could learn from digital-native companies that have successfully introduced and scaled digital consumer value propositions. These companies, often found in hotspots like Silicon Valley and Shenzhen, share some characteristics that contribute to their success. There are three common themes:

Emulating these three traits is not trivial. It generally requires profound changes in a company’s operating and governance models, culture, ways of working, and employee value propositions. This can be particularly challenging if companies need to unlearn some of the habits and patterns which have made them successful previously, such as:

These are not easy changes to make. They often present management teams with uncomfortable choices. But the rewards are enormous: African companies that can adopt and embrace digital-native characteristics greatly improve the odds of transforming their businesses, establishing new sources of competitive advantage and, in some cases, achieving a step-change in their valuations.

","companies(14), digital(10), solutions(6), african(5), value(5), new(5), customer(5), many(4), business(4), successful(4), offerings(4), insurance(3), consumer(3), propositions(3), customers(3)",https://www.bcg.com/publications/2024/africa-winning-the-tech-race-in-africa-lessons-from-digital-natives
What Cybersecurity Leaders Get Right,"October 15, 2024","Chief information security officers face a continually evolving challenge. The threat landscape is changing all the time, requiring unrelenting vigilance. Yet even as CISOs seek to enhance their company’s security posture, they must deal with talent shortages and competing budget priorities. To better understand these issues, BCG recently partnered with GLG, a research firm that primarily serves the financial industry, to survey more than 350cybersecurityleaders from companies around the world.11The survey was conducted in June 2024. Respondents were from companies in a range of sizes and a variety of geographic markets and industries. This was BCG’s second annual cybersecurity survey;the firstwas conducted in 2023.Notes:1The survey was conducted in June 2024. Respondents were from companies in a range of sizes and a variety of geographic markets and industries. This was BCG’s second annual cybersecurity survey;the firstwas conducted in 2023.

Key takeaways from our analysis include the following:

These findings offer critical insights for cybersecurity executives, investors (including PE firms), and vendors.

In our survey, companies assessed themselves on how effectively they have adopted 12 best practices in cybersecurity, from data protection to incident response and third-party cyber risk management. Overall, company scores increased across most of the 12 areas from 2023 to 2024, indicating that cyber maturity is growing. The biggest gains were in cybersecurity governance, risk, and compliance (an increase of 8 percentage points), driven by growing regulatory pressures and an increased awareness of the importance of internal governance practices. Business continuity and resilience scores also increased, up 8 percentage points.

Despite this progress, some critical gaps remain. For example, only 25% of companies achieved the highest score for app security, and only 22% did so in data protection or software supply chain risk management. (See Exhibit 1.) Third-party cyber risk management is also a core priority, but just 28% of companies achieved the highest score.","survey(6), companies(6), cybersecurity(5), risk(4), security(3), cyber(3), management(3), company(2), june(2), respondents(2), sizes(2), variety(2), geographic(2), markets(2), industries(2)",https://www.bcg.com/publications/2024/what-cybersecurity-leaders-get-right
"In Today’s 5G World, Africa Has an Opportunity To Accelerate","September 23, 2024","In the past three years the world has pivoted sharply. Mid-2021, the global pandemic was receding, inflation and interest rates were low, ChatGPT hadn’t been released, there was no war in Europe and a peace accord in the Middle East was tantalizingly close.

Fast-forward to today and the global environment looks completely different. Companies, governments, and NGOs are all looking for ways to navigate it and manage a fresh set of challenges, fromGeopoliticsto theGreentransition, the rapid evolution ofGenAI, Government indebtedness, declining populations, andGeneration Alpha. This is what we call the “5G world”.

Many solutions to the 5G challenges will be found in Africa. While the continent still faces undeniable challenges, not the least being the region most impacted by the impact of climate change, it also has massive renewable energy potential. it holds 40% of the critical minerals to transition from a carbon-dependent economy; its arable lands can give the world food security; the Congo Basin and African lands have massive carbon sequestration potential; and the continent will have a 2.5 billion-young population by 2050, a tremendous human capital.

Geopolitics:With the start of the Ukraine war, the US-China decoupling and the Middle East crisis, geopolitics moved into the boardroom of companies. Bismark famously said that nations have no friends, they only have strategic interests. The current global fragmentation that has emerged over the past three years is a real opportunity for African countries. They have never had so much freedom to choose who they do business with. Africa can remain geopolitically equidistant and insist on integrated investment roadmaps that includes natural resources, but also biopharma, education, manufacturing, or agriculture. A strong refocus on regional blocks is also an opportunity accelerate the long-awaited economic, commercial, political, and logistic integration of Africa.

GenAI:Many believe this is a technology that will fundamentally alter the march of human economic progress. It is exponential not linear. The main forces behind Africa’s golden decade in early 2000s were mobile phones and internet. Just as the internet opened up knowledge and commerce, GenAI will unlock expertise and productivity. Africa needs a lot more productivity, across sectors and all 54 countries. GenAI innovation is also not confined to the US and China. Countries like the UAE or France are becoming key players. No matter what industry you operate in, today you are de facto a technology company. African government leaders and CEOs can’t afford to be sceptical: they must upskill on GenAI, invest in data centres, bring cloud computing costs down, develop the right regulations and sign partnerships to ensure they do not miss this generational opportunity.

Green:The green revolution is just starting. Africa has a key role to play, but it must be on Africa’s terms. The cost of making the green transition is immense: some estimates put it at $9 trillion a year. This money will have to come from somewhere – and the global private sector is awash in cash today. African governments should pay close attention to the green policies of other countries and how they can play their part on these new energy value chains. Given how Africa will be impacted by climate change, a priority focus should be on adaptation and resilience. In Africa more than anywhere else, Green starts with Food and Agriculture, Africa’s single most important investment opportunity. One-third of all food produced in Africa is either wasted or lost. The percentage of agricultural land under irrigation in Africa is 1.5%, compared with 15-20% in Asia. The continent still imports $100 billions of food every year. The call to action is clear: invest in crops, custom fertilizers, storage facilities, processing units, transport, and integrated logistics. Energy is another urgent need: 600 million Africans lack access to energy. Electricity is a true game-changer in development. As with mobile technology, Africa can leapfrog yesterday’s energy systems and bet big on renewables, mini-grids, advanced geothermal, biomass and potentially small/medium nuclear reactors.

Global debt:Over the past few decades, the level of public debt has been rising all over the world. That was supercharged by the pandemic. While there is not a lot of money in public coffers, there is a lot in private purses: sovereign wealth funds, private equity funds, large family offices or big corporates. Africa’s development will be capital-intensive, so it needs new ways to mobilise public and private capital. What do private investors want? They say they want Africa to show a few years of macro stability and regulatory certainty. They want to see a larger pipeline of bankable projects, less forex volatility, more liquidity in capital markets, well-run portfolio assets, better governance, and accountability from public officials. They basically want the conditions in place to make a good return. This is how Africa can reduce its high-risk premiums, which is today higher than actual observed risks. Africa should also continue to push for a reset of the global debt and credit multilateral system. With the youngest population and the most growth upside, it is unfortunately the most capital constrained. Africa should be able to run deficits and rely on debt to fund its next stage development. The rest of the world must consider this when they renegotiate multilateral agreements.

Generation Alpha:In five years, 50% of all Africans will be Generation Alpha (born after 2010) or put another way, one-third of Generation Alpha in the world will live in Africa. Not only does the continent have a significant capital shortage, but it also has a massive labour surplus. This is an amazing demographic dividend, and Africa should not waste it. The call to action is first and foremost to invest in education and job creation. And dare to invest in worldclass higher education. A standout example is Morocco, where several world-class universities have opened in the last 10 years, such as UM6P, one of Africa’s most ambitious endeavours. Moroccan digital skills are now so good that BCG has decided to de-localise one of its biggest AI hubs there. Another key aspect of Generation Alpha is to unleash the power of women on the continent, particularly their entrepreneurial power. Corporates have a big role to play in changing mindsets on this dimension. Finally, Africa can export its soft power and youth creative industries to the world: there is global appetite today for African culture whether in food, fashion, arts, sports or music.

Africa has gone through challenging times since the pandemic. But we believe it is Africa’s time to seize advantage in this “5G” world. We are in the middle of a major geopolitical and macroeconomic reset, with profound economic and societal implications. This creates a unique window of opportunity for Africa, where a bold course of action is required. Parts of the continent are close to the moment of achieving escape velocity, from which there will be no turning back. This year, 12 of the 20 fastest-growing countries in the world will be in Africa. There are many positive developments on the continent which are being ignored and overlooked. It is up to African government and business leaders to set a bold agenda for the years to come.

","africa(15), world(9), global(7), years(6), continent(6), african(6), today(5), energy(5), food(5), capital(5), opportunity(5), countries(5), green(5), private(5), debt(4)",https://www.bcg.com/publications/2024/africa-in-todays-5g-world-africa-has-an-opportunity-to-accelerate
It’s Time to Implement New Tools to Counter Quantum Hacking,"September 10, 2024","Right now, the US Department of Commerce wants businesses to transition to the new encryption tools it has designed to withstand cyberattacks from quantum computers.

As the power of quantum computers advances, they will have the compute power to quickly decode the current encryption methods that keep 98% of electronic data safe.

There is a 50:50 chance of quantum computers being able to do this by 2031, according to BCG analysis in conjunction with the Institute for Quantum Computing.

And although this is a future threat, hackers could be downloading data now to decrypt it later.

“The risk is real and the risk is now, and that’s why these new tools have been launched preemptively,”explains BCG’s Managing Director and PartnerMatt Langione, an expert in quantum computing.

Quantum computinghas the potential to drive huge progress in areas such as drug discovery, optimization of logistics networks, machine learning to detect fraud, and securing government data. And BCG estimates that it will create value totaling $450–$850 billion by the time the technology matures.

Despite this huge potential, quantum computers also threaten two types of encrypted data:

Given the risk of data at rest being downloaded now to decrypt later, the US Department of Commerce’s National Institute of Standards and Technology (NIST) is encouraging computer system administrators to begin transitioning to the new standards it has designedas soon as possible.

NIST has spent eight years working with the private sector and academics around the world to develop the new tools—or cryptographic algorithms.

“These new algorithms are an important milestone because NIST typically sets the standard for common adoption,” Langione says.

“The key question is whether companies will act soon enough to protect themselves against something which might not seem a clear and present danger.”

In the past, cryptographic upgrades have taken about 20 years, although 7–10 years is considered an optimistic minimum today. And even NIST suggests that the transition may well be expensive and disruptive, albeit highly effective.

Here are some initial steps for companies to take:

Inventorizeall hardware, firmware, software, operation systems, and applications that use the current algorithm for encryption. Automated discovery tools can help here.

Prioritizethe components that need to be migrated first based on risk management methodology that assess the sensitivity of thedataand the potential impact of the attack. This will provide a roadmap for action.

Integrateand testthe new standards. Detailed instructions for incorporating the new tools into products and encryption systems will be needed. And they should then be tested to ensure they are functioning correctly and securely, without too much of a negative impact on performance.

Trainkey security personnel and equip them for ongoing monitoring and updating. There should also be collaboration with vendors to ensure they are adopting the new standards too since many attacks happen with software from a third party.

","new(8), quantum(6), data(5), tools(4), computers(4), risk(4), standards(4), nist(4), encryption(3), bcg(3), potential(3), years(3), department(2), commerce(2), transition(2)",https://www.bcg.com/publications/2024/quantum-hacking-demands-new-tools-now
Winning Strategies for B2B SaaS Companies,"September 10, 2024","The tech sector has experienced slowing growth and well-publicized restructurings by global leaders, but one category remains extremely resilient: B2B SaaS players. The sector continued to thrive in 2023, thanks to sustained innovation and strong demand from enterprise customers.

For the second year, BCG X surveyed more than 100 B2B SaaS providers in Europe to understand their current growth prospects, fundamental challenges, andmarketing and salespriorities. (See “A Profile of Participants.”) The initial study showedstrong growth among B2B SaaS players in Europe, and this year’s analysis confirmed sustained growth amid a significantly different market landscape. To help companies capture that potential, we developed a playbook centered on four priorities that leading players are applying: target new customers more effectively, automate marketing processes, link pricing to products, and continue to innovate.

Our research base this year consists of 101 companies, 86% of which are backed by VCs. Collectively, they have raised more than €3 billion. Most of the companies were founded two to five years ago, with an average age of 4.8 years. Among the survey participants, 39% offer industry-specific vertical solutions, while 18% provide horizontal solutions (such as customer relationship management, enterprise resource planning, or human capital management). In terms of country distribution, Germany has the highest share (56%), followed by the UK (15%), the Netherlands (7%), and France (6%).

Although funding for SaaS companies has dropped, growth in the category is still significant: 19% annually in 2023 for the overall industry and 187% for the select group of 101 hypergrowth companies in our sample. The outlook for 2024 is even more positive, with growth of 235% projected.

SaaS companies can scale up quickly, but the competition is fierce. Digitization and cost pressure lead to soaring demand from enterprise customers. Winning products can catch on extremely rapidly, resulting in hypergrowth among top performers.

Of all software segments we analyzed, HR showed the fastest growth, as companies seek to better manage human capital, address issues such as remote and flexible work, andcompete for talentin a competitive market. (See Exhibit 1.)","growth(7), companies(7), saas(5), b2b(3), players(3), enterprise(3), customers(3), year(3), sector(2), category(2), demand(2), market(2), products(2), years(2), solutions(2)",https://www.bcg.com/publications/2024/winning-strategies-for-b2b-saas-companies
GenAI and the New Customer Service Operating Model,"September 06, 2024","While the scaling of use cases has dominated the headlines aboutgenerative AI(GenAI), leading customer service organizations are working to harness the technology’s full potential by fundamentally transforming their operating models.

Their goal is to make the customer service experience faster, more flexible, more customer friendly, and more proactive. These organizations believe that transforming their teams––how they work together, what kind of work they do, and how they are supported and motivated––will help them to realize ambitions for productivity improvements that reach as high as 80%. That goal lies well beyond the 15% to 30% that some organizations have achieved by scaling their initial GenAI use cases to date.

Our experience shows that such ambitious transformations will require more than additional AI-driven assistants and copilots, greater task automation, and improvements to technology and infrastructure. In line with BCG’s10/20/70 rule, a full-scale operational transformation will account for 70% of the effort to harness GenAI’s full potential, with 10% focused on algorithms and 20% on data and the technology backbone.

Exhibit 1 shows the scope of a full GenAI transformation process across customer service operations, which covers the different ways that an organization can solve a customer’s problem, from upstream prevention to outsourced service delivery.","customer(5), service(4), genai(3), organizations(3), technology(3), full(3), use(2), cases(2), harness(2), potential(2), goal(2), experience(2), work(2), improvements(2), transformation(2)",https://www.bcg.com/publications/2024/transforming-customer-service-operations-with-genai
GenAI Doesn’t Just Increase Productivity. It Expands Capabilities.,"September 05, 2024","This is the second major field experiment led by the BCG Henderson Institute designed to help business leaders understand how humans and GenAI should collaborate in the workplace. Our previous study assessed thevalue created—and destroyed—by GenAIwhen used by workers for tasks they had the capabilities to complete on their own. Our latest experiment tests how workers can use GenAI to complete tasks that are beyond their current capabilities.

A new type of knowledge worker is entering the global talent pool. This employee, augmented withgenerative AI, can write code faster, create personalized marketing content with a single prompt, and summarize hundreds of documents in seconds.

These are impressive productivity gains. But as the nature of many jobs and the skills required to do them evolve, workers will need to expand their current capabilities. Can GenAI be a solution there as well?

Based on the results ofa new experimentconducted by the BCG Henderson Institute and scholars from Boston University and OpenAI’s Economic Impacts research team, the answer is an unequivocal yes. We’ve now found that it’s possible for employees who didn’t have the full know-how to perform a particular task yesterday to use GenAI to complete the same task today.

Our research involved a carefully structured experimental design to evaluate the impact of generative AI on the ability of nontechnical knowledge workers to perform technical, data-science tasks.In total, 480 BCG consultants and 44 BCG data-scientist volunteers completed this controlled study. The study participants were general consultants, for whom data-science expertise is not typically required. This expertise exists among the data scientists of BCG X who also volunteered to support the study by establishing benchmarks. The performance of general consultants was evaluated by comparing their output to that of BCG data scientists who completed the same tasks.General consultants were randomly assigned to either a GenAI-augmented group, which received interactive training on using Enterprise ChatGPT-4 with the Advanced Data Analysis Feature for data science tasks, or a control group, which was asked not to use GenAI and received interactive training on traditional resources like Stack Overflow. The tasks assigned to participants included coding, statistical understanding, and predictive modeling, all of which required skills that are typically outside the expertise of nontechnical workers but within the day-to-day expertise of BCG’s data scientists.Data collection was carried out in four phases: a pre-experiment survey to assess baseline skills and attitudes, a tailored training session for each group, the completion of two out of three randomly assigned data-science tasks, and a post-experiment survey to measure knowledge retention without the use of AI tools.The tasks were designed by BCG data scientists to ensure that they were challenging enough that AI could not solve them independently. Analysis focused on comparing the performance of the treatment and control groups against the benchmarks set by BCG data scientists, examining the completion rates, time taken, and correctness of the responses.Similar to our first GenAI study, we “put our feet to the fire”—with a goal of deeply understanding GenAI’s impact on ways of working.

With that in mind, leaders should embrace GenAI not only as a tool for increasing productivity, but as atechnologythat equips the workforce to meet the changing job demands of today, tomorrow, and beyond. They should consider generative AI an exoskeleton: a tool that empowers workers to perform better, and do more, than either the human or GenAI can on their own.

Of course, there are important caveats—for example, employees may not have the requisite knowledge to check their work, and therefore may not know when the tool has gotten it wrong. Or they may become less attentive in situations where they should be more discriminating.

But leaders who effectively manage the risks can reap significant rewards. The ability to rapidly take on new types of work with GenAI—particularly tasks that traditionally require niche skills that are harder to find, such as data science—can be a game-changer for individuals and companies alike.

In the previous experiment, we measured performance on tasks that were within the realm of the participants’capabilities.11That experiment was conducted using the first version of GPT-4.Notes:1That experiment was conducted using the first version of GPT-4.(See top row of Exhibit 1.) For tasks where GenAIis highly capable, we found that augmented workers perform significantly better than humans working without the technology. However, when the technology is not capable of performing the task at expert level, humans tend to over-rely on GenAI and perform worse than if they had completed the task on their own.","tasks(9), workers(7), genai(7), data(7), bcg(6), experiment(5), study(5), knowledge(4), skills(4), task(4), consultants(4), scientists(4), leaders(3), humans(3), capabilities(3)",https://www.bcg.com/publications/2024/gen-ai-increases-productivity-and-expands-capabilities
Attracting Chips Investment: Industry Recommendations for Policymakers,"August 08, 2024","Chips are integral to the 21st century economy, from connected vehicles and data centers to mobile devices,AI, and streaming platforms. Booming demand will drive a projected $2.3 trillion investment in wafer fabrication capacity alone in 2024–2032. Fab capacity growth is exerting a “pull effect” on the rest of thesemiconductorsupply chain in design; materials; equipment; assembly, test, and packaging (ATP); and other segments.

Historically, the semiconductor supply chain has been concentrated in a few regions: East Asia, Western Europe, and the United States. But the industry’s expansion across borders is increasing as semiconductor companies invest outside their HQ regions to build resilience while taking advantage of incentives and new market opportunities. This trend presents an exciting opportunity for countries and localities to deepen their footprint in the semiconductor supply chain.

For this new report,Attracting Chips Investment: Industry Recommendationsfor Policymakers, BCG and the Semiconductor Industry Association (SIA) interviewed SIA member companies, as well as industry and regional experts, to understand how semiconductor companies choose where and how to invest. We outline the following five primary factors that impact investment decisions, and provide actionable recommendations for governments seeking to grow their semiconductor industry:

Semiconductor companies are poised to make ambitious investments across the world over the next decade. This BCG-SIA report provides deep insight into how semiconductor companies make investment decisions and compiles a set of practical recommendations for policymakers and governments to both position their countries to attract chip ecosystem investments that complement industry operations in the United States and drive greater security, resilience, and diversification in global semiconductor supply chains.","semiconductor(8), industry(6), companies(5), investment(4), chain(3), supply(3), chips(2), capacity(2), regions(2), united(2), states(2), resilience(2), new(2), countries(2), report(2)",https://www.bcg.com/publications/2024/industry-recommendations-to-attract-chips-investments
Google’s Latest Decision Keeps Cookies Around—for Now,"August 01, 2024","Last week, Google announced that it was canceling its plan to eliminate third-party cookies in its Chrome web browser. Instead, it is working on a plan that would allow consumers to opt out of them more easily.

“Even though this decision means that third-party cookies remain, it’s another step on the long, steady march toward the death of third-party cookies,” says BCG Managing Director and Senior PartnerMark Abraham. “We’re not there yet, but we’re very much in the twilight of third-party cookies. The fact that consumers will be more easily able to opt out means that companies will simply have access to less of them over time.”

According to a BCG study, a majority of marketers estimate that the ongoing changes to third-party cookies are putting at least 20% of their data used for targeted marketing at risk. Google’s announcement addresses the concerns of marketers while also responding to the privacy concerns of consumers. The immediate challenge to marketers is mitigated, but they still must prepare for a cookieless future in the long term.

Brands that have adapted their marketing and no longer use third-party cookies have seen theirdigital marketingperformance improve by 10% for mature enterprises and up to 100% for small and medium-sized businesses, based on BCG experience.

Third-party cookies enable companies to track consumer activity across every internet site they visit, including their transactions and browsing history. Many companies use third-party cookies to understand consumer behavior, build personalized profiles, and tailor their marketing outreach.

Other web browsers, including Firefox and Safari, have already eliminated third-party cookies. Google, which still controls about 65% of global desktop browser volume, initially said in 2020 that it would follow suit. But it pushed back that plan several times and now has officially shelved it, meaning that third-party cookies will remain in Chrome for the foreseeable future.

Here’s how companies can revamp their marketing playbook to succeedwith—or without—cookies.

Maximize first-party data.Leading companies are investing to build digital relationships with their existing customers through their own apps and websites. They can identify customers through an email or login and track their transactions and browsing history directly—data that is the gold standard for understanding consumer behavior.

Look at zero-party and second-party data as well.Increasingly, companies supplement first-party data with what is known as zero-party data, which entails directly asking consumers about their preferences. For example, Stitchfix asks new customers about their style preferences, and media brands like Netflix and Spotify ask whether viewers liked or disliked a particular movie or song.

In addition, companies can use second-party customer data, which comes from partnerships that companies strike with brands that have a similar customer profile. For example, Starbucks customers can connect their Starbucks Rewards accounts with their Marriott Bonvoy and Delta SkyMiles accounts, enabling certain data sharing across these partners.

Win the battle of loyalty programs.Loyalty programs have exploded in the last several years, with new programs launching and existing programs seeing major redesigns to attract members, boost sales, and capture customer data. The challenge is that as programs proliferate, the universe is becoming fragmented, with consumers joining more programs without necessarily spending or engaging more. Companies need to make sure that their program is sufficiently compelling and offers real value to consumers in some way, rather than just rolling out a copycat offering.

Get better and faster at testing new campaigns.Experimentation is becoming critical in precision marketing, and companies need to build strong capabilities in rapid measurement and automation. Quite simply, the brands that test more campaigns and learn from them faster will win. Leading companies use agile teams, sprint-based pilots, and dynamic optimization to run hundreds of campaigns at once and get results back in real time—not just reporting on click-throughs but also on incremental sales.

Don’t alienate consumers by overwhelming them.Spam abounds, andgenerative AImakes marketing content even easier to generate, meaning the problem is likely to get worse. But just because companiescansend a marketing message to consumers doesn’t mean theyshould. A recent BCG analysis found that about two-thirds of consumers have received an inaccurate or inappropriate marketing message in the last 30 days. Without curating marketing outreach and targeting consumers accurately, brands are at risk of alienating them—and losing their business forever.","companies(11), cookies(10), consumers(10), data(7), marketing(7), brands(5), programs(5), customers(4), last(3), plan(3), bcg(3), marketers(3), consumer(3), new(3), customer(3)",https://www.bcg.com/publications/2024/global-search-engines-decision-on-the-future-of-third-party-cookies
